ProductA_Code,ProductA_Name,ProductB_Code,ProductB_Name,PairCount
22577,WOODEN HEART CHRISTMAS SCANDINAVIAN,22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,467
84970L,SINGLE HEART ZINC T-LIGHT HOLDER,84970S,HANGING HEART ZINC T-LIGHT HOLDER,463
23300,GARDENERS KNEELING PAD CUP OF TEA ,23301,GARDENERS KNEELING PAD KEEP CALM ,463
82483,WOOD 2 DRAWER CABINET WHITE FINISH,82494L,WOODEN FRAME ANTIQUE WHITE ,461
21930,JUMBO STORAGE BAG SKULLS,21931,JUMBO STORAGE BAG SUKI,460
22866,HAND WARMER SCOTTY DOG DESIGN,22867,HAND WARMER BIRD DESIGN,459
21213,PACK OF 72 SKULL CAKE CASES,84991,60 TEATIME FAIRY CAKE CASES,459
21232,STRAWBERRY CERAMIC TRINKET BOX,85123A,WHITE HANGING HEART T-LIGHT HOLDER,458
82482,WOODEN PICTURE FRAME WHITE FINISH,82483,WOOD 2 DRAWER CABINET WHITE FINISH,452
20725,LUNCH BAG RED RETROSPOT,22383,LUNCH BAG SUKI DESIGN ,450
21181,PLEASE ONE PERSON METAL SIGN,85152,HAND OVER THE CHOCOLATE   SIGN ,450
22569,FELTCRAFT CUSHION BUTTERFLY,22570,FELTCRAFT CUSHION RABBIT,445
21929,JUMBO BAG PINK VINTAGE PAISLEY,85099F,JUMBO BAG STRAWBERRY,444
22555,PLASTERS IN TIN STRONGMAN,22556,PLASTERS IN TIN CIRCUS PARADE ,443
47566,PARTY BUNTING,85123A,WHITE HANGING HEART T-LIGHT HOLDER,441
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,85099F,JUMBO BAG STRAWBERRY,441
21212,PACK OF 72 RETROSPOT CAKE CASES,21977,PACK OF 60 PINK PAISLEY CAKE CASES,441
22726,ALARM CLOCK BAKELIKE GREEN,22728,ALARM CLOCK BAKELIKE PINK,440
85099B,JUMBO BAG RED RETROSPOT,85123A,WHITE HANGING HEART T-LIGHT HOLDER,439
